Crash ID,Participant ID,Participant Type Code,Participant Hit & Run Flag,Public Employee Flag,Sex,Age,Driver License Status,Driver Residence Status,Injury Severity,Participant Safety Equipment Use Code,Airbag Deployment,Non-Motorist Movement Code,Non-Motorist Travel Direction From,Non-Motorist Travel Direction To,Non-Motorist Location,Participant Action,Participant Error 1 Code,Participant Error 2 Code,Participant Error 3 Code,Participant Cause 1 Code,Participant Cause 2 Code,Participant Cause 3 Code,Participant Event 1 Code,Participant Event 2 Code,Participant Event 3 Code,BAC Test Results Code,Alcohol Use Reported,Drug Use Reported,Participant Marijuana Use Reported,Participant Striker Flag
1828373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828373,3921755.0,65.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,86.0,0.0,0.0,0.0,,,,,
1828373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828373,3921756.0,26.0,1.0,1.0,2.0,6.0,,,,,,0.0,28.0,34.0,50.0,2.0,6.0,30.0,1.0,,,86.0,0.0,0.0,0.0,,,,,
1828552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828552,3922161.0,22.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,26.0,,,29.0,,,,,,,,,0.0,,,,,
1828552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828552,3922162.0,24.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1828709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828709,3922555.0,21.0,0.0,1.0,9.0,9.0,,,,,,0.0,26.0,,,29.0,,,,,,,,,0.0,,,,,
1828709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828709,3922556.0,66.0,2.0,4.0,3.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1828709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828709,3922557.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1828977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828977,3923159.0,33.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,26.0,,,29.0,,,,,,,,,0.0,,,,,
1828977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828977,3923160.0,48.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1828982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828982,3923171.0,22.0,1.0,1.0,4.0,9.0,,,,,,0.0,0.0,,,10.0,,,,,,,,,0.0,,,,,
1828982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828982,3923172.0,40.0,1.0,1.0,4.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1829693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829693,3924865.0,24.0,1.0,2.0,3.0,2.0,1.0,,,,,17.0,79.0,80.0,,10.0,,,,,,86.0,0.0,0.0,0.0,,,,,
1829693,3924866.0,30.0,,,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1829718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829718,3924926.0,26.0,1.0,1.0,9.0,2.0,,,,,,38.0,16.0,43.0,42.0,27.0,7.0,,,,,,0.0,0.0,0.0,,,,,
1829718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829718,3924927.0,34.0,1.0,2.0,4.0,2.0,9.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,,,,,
1829755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829755,3925006.0,20.0,1.0,1.0,3.0,2.0,1.0,,,,,38.0,79.0,81.0,,27.0,5.0,,93.0,,,86.0,0.0,0.0,0.0,,,,,
1829763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829763,3925020.0,23.0,1.0,2.0,9.0,9.0,,,,,,0.0,26.0,,,29.0,,,,,,,,,0.0,,,,,
1829763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829763,3925021.0,49.0,1.0,2.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1829763,3925022.0,14.0,,,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1829797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829797,3925088.0,47.0,1.0,2.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,,,,,
1829797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829797,3925089.0,21.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,4.0,28.0,,8.0,2.0,,,,,,0.0,0.0,0.0,,,,,
1829853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829853,3925212.0,27.0,1.0,2.0,9.0,2.0,1.0,,,,,17.0,79.0,80.0,28.0,5.0,2.0,,,,,,0.0,0.0,0.0,,,,,
1829853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829853,3925213.0,27.0,2.0,4.0,4.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,,,,,
1829853,3925214.0,26.0,,,4.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1829867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829867,3925245.0,23.0,1.0,2.0,4.0,1.0,,,,,,0.0,4.0,28.0,,8.0,2.0,,,,,,0.0,0.0,0.0,,,,,
1829867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829867,3925246.0,32.0,1.0,2.0,4.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,,,,,
1829871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829871,3925253.0,79.0,1.0,1.0,4.0,2.0,0.0,,,,,28.0,79.0,80.0,83.0,17.0,,,,,,,0.0,0.0,0.0,,,,,
1829928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829928,3925398.0,32.0,2.0,4.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,,,,,
1829928,3925399.0,34.0,,,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1829928,3925400.0,34.0,,,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1829928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829928,3925401.0,20.0,1.0,1.0,9.0,2.0,1.0,,,,,0.0,21.0,28.0,,3.0,2.0,,,,,,0.0,0.0,0.0,,,,,
1829928,3925402.0,26.0,,,4.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1829928,3925403.0,24.0,,,3.0,0.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1829928,3925404.0,29.0,,,3.0,0.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1829983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829983,3925538.0,28.0,1.0,2.0,3.0,0.0,,,,,,17.0,79.0,,,10.0,,,1.0,,,86.0,0.0,0.0,0.0,,,,,
1829988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829988,3925559.0,60.0,1.0,1.0,3.0,2.0,1.0,,,,,0.0,0.0,,,12.0,,,,,,,0.0,0.0,0.0,,,,,
1830030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830030,3925651.0,31.0,2.0,1.0,9.0,2.0,1.0,,,,,38.0,16.0,42.0,,27.0,29.0,,,,,,0.0,0.0,0.0,,,,,
1830030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830030,3925652.0,60.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,,,,,
1830030,3925653.0,30.0,,,4.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1830030,3925654.0,28.0,,,4.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1830038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830038,3925671.0,23.0,1.0,2.0,3.0,2.0,0.0,,,,,17.0,79.0,80.0,,10.0,,,,,,,0.0,0.0,0.0,,,,,
1830046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
